no	smiles	active_g10	active_g20	active_g40	active_g60	active_g80	active_g100	N_matches	atom_match_count	c1ccccc1CNCC	c1ccccc1Cc1ccccc1	c1ccccc1CN2CCCCC2	CCNCc1ccccc1	Cc1ccccc1	Oc1ccccc1	c1ccccc1C(F)(F)F	CCOc1ccccc1	c1ccccc1CCNC	COc1ccccc1	n1ccccc1C	NCCc1ccccc1	c1cc(C)ccc1C	n1ccccc1	CCc1ccccc1
A45	Cc1nc2cccc(c2c(=O)n1c1ccc(cc1)OCCCN1CCCC1)C(F)(F)F	1	1	1	1	1	1	5.0	"[0. 0. 0. 2. 2. 2. 2. 2. 2. 0. 0. 0. 3. 3. 3. 3. 3. 3. 3. 2. 1. 0. 0. 0.
 0. 0. 0. 2. 1. 1. 1.]"	0.0	0.0	0.0	0.0	1.0	1.0	1.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A46	Cc1nc2ccccc2c(=O)n1c1ccc(cc1)OCCCN1CCCC1	1	1	1	1	1	1	3.0	"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 3. 3. 3. 3. 3. 3. 3. 2. 1. 0. 0. 0.
 0. 0. 0.]"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A47	Cc1ncc(cn1)c1cccc2c1CC(CO2)NC(=O)c1ccc(nc1)OCC(F)(F)F	1	1	1	1	1	1	8.0	"[0. 0. 0. 0. 1. 0. 0. 7. 7. 7. 7. 7. 7. 3. 4. 2. 3. 2. 1. 0. 1. 1. 1. 1.
 1. 1. 0. 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	1.0
A48	CC1NCCN(C1)Cc1cccc(c1)c1cc(CNC(=O)c2cccc(c2)CC2CCNCC2)ccc1F	1	1	1	1	1	1	4.0	"[0. 1. 0. 1. 1. 2. 1. 3. 3. 3. 3. 3. 3. 3. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1.
 1. 1. 1. 1. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"	1.0	0.0	0.0	1.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A49	Cc3nc(N1CCCC1)nc4ccc(NC(=O)COc2ccc(Cl)cc2)cc34	1	1	1	1	1	1	3.0	"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 0. 2. 3. 3. 3. 3. 3. 0.
 3. 3. 0. 0.]"	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A50	Cc6ccc5c(c4nnc(SCCCN3CCc2cc1nc(C)oc1cc2CC3)n4C)cccc5n6	1	1	1	1	1	1	6.0	"[1. 2. 2. 2. 3. 1. 1. 0. 0. 0. 0. 0. 0. 1. 2. 2. 2. 3. 3. 3. 0. 0. 0. 0.
 3. 3. 3. 1. 1. 0. 0. 1. 1. 1. 3. 2.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0	1.0	1.0	0.0	1.0	1.0
A51	CCCOC(c1ccccc1)(c1ccccc1)C(=O)OC1CCN(CC1)C	1	1	1	1	1	1	3.0	"[0. 0. 0. 0. 3. 3. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0.]"	0.0	1.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0
A52	Clc1c(cccc1Cl)OC(c1ccccn1)C1CCNC1	1	1	1	1	1	1	5.0	[0. 3. 3. 3. 3. 3. 3. 0. 3. 3. 3. 2. 2. 2. 2. 2. 0. 0. 0. 0. 0.]	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	1.0	0.0	0.0	1.0	0.0
A53	Clc1c(OCCNCc2cccs2)ccc2c1cccc2	1	1	1	1	1	1	3.0	[0. 3. 3. 3. 2. 1. 0. 0. 0. 0. 0. 0. 0. 3. 3. 3. 3. 0. 0. 0. 0.]	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A54	Clc1cc(cnc1N1CCN(CC1)C(=O)c1cc(ccc1OC(C(F)(F)F)C)S(=O)(=O)C)C(F)(F)F	1	1	1	1	1	1	7.0	"[0. 1. 1. 1. 1. 1. 1. 0. 2. 2. 2. 0. 0. 3. 0. 6. 6. 6. 6. 6. 6. 3. 2. 1.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.]"	1.0	0.0	0.0	1.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	1.0	0.0
A55	Clc1cc2c(n(cc2C=2CC[NH+](CC=2)CCN2CCNC2=O)-c2ccc(F)cc2)cc1	1	1	1	1	1	1	0.0	"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0.]"	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A56	Clc1ccc(o1)CNCCOc1ccc2c(c1Cl)cccc2	1	1	1	1	1	1	3.0	[0. 0. 0. 0. 0. 0. 0. 0. 1. 2. 3. 3. 3. 3. 3. 3. 3. 0. 0. 0. 0. 0.]	0.0	0.0	0.0	0.0	0.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0
A57	Clc1cccc(c1N1C(=O)NCc2c1nc(NCC(C)(C)C)nc2c1ccccc1Cl)Cl	1	1	1	1	1	1	1.0	"[0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1.
 1. 1. 1. 1. 1. 1. 0. 0.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
A58	CN(C)[C@H]1CC[C@@H](CC1)c2ccc(cc2)OCCCN3CCCCC3	1	1	1	1	1	1	5.0	"[0. 0. 0. 0. 0. 1. 2. 0. 0. 5. 5. 5. 5. 5. 5. 3. 2. 1. 0. 0. 0. 0. 0. 0.
 0.]"	0.0	0.0	0.0	0.0	1.0	1.0	0.0	1.0	0.0	1.0	0.0	0.0	0.0	0.0	1.0
A59	CN(C)C(=N)c4ccc(C(=O)Nc2ccc(SCC(=O)N1CCCCC1)cc2C(=O)Nc3ccc(Cl)cn3)cc4	1	1	1	1	1	1	3.0	"[0. 0. 0. 2. 0. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 2. 2.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
A60	CN(C)C(=N)c4ccc(C(=O)Nc2ccc(SCC(=O)N1CCN(C(=O)OC(C)(C)C)CC1)cc2C(=O)Nc3ccc(Cl)cn3)cc4	1	1	1	1	1	1	3.0	"[0. 0. 0. 2. 0. 2. 2. 2. 2. 1. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0.
 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 0. 1. 1. 1. 1. 0. 1. 1. 2. 2.]"	0.0	0.0	0.0	0.0	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	1.0	0.0
